,Type,Island,Clutch Completion,Date,Culmen Length (mm),Culmen Depth (mm),Flipper Length (mm),Body Mass (g),Sex,Delta 15 N (o/oo),Delta 13 C (o/oo)
0,Adelie Penguin (Pygoscelis adeliae),Torgersen,Yes,11/11/2007,39.1,18.7,181.0,3750.0,MALE,,
1,Adelie Penguin (Pygoscelis adeliae),Torgersen,Yes,11/11/2007,39.5,17.4,186.0,3800.0,FEMALE,8.94956,-24.69454
2,Adelie Penguin (Pygoscelis adeliae),Torgersen,Yes,16/11/2007,40.3,18.0,195.0,3250.0,FEMALE,8.36821,-25.33302
3,Adelie Penguin (Pygoscelis adeliae),Torgersen,Yes,16/11/2007,,,,,,,
4,Adelie Penguin (Pygoscelis adeliae),Torgersen,Yes,16/11/2007,36.7,19.3,193.0,3450.0,FEMALE,8.76651,-25.32426
5,Adelie Penguin (Pygoscelis adeliae),Torgersen,Yes,16/11/2007,39.3,20.6,190.0,3650.0,MALE,8.66496,-25.29805
6,Adelie Penguin (Pygoscelis adeliae),Torgersen,No,15/11/2007,38.9,17.8,181.0,3625.0,FEMALE,9.18718,-25.21799
7,Adelie Penguin (Pygoscelis adeliae),Torgersen,No,15/11/2007,39.2,19.6,195.0,4675.0,MALE,9.4606,-24.89958
8,Adelie Penguin (Pygoscelis adeliae),Torgersen,Yes,9/11/2007,34.1,18.1,193.0,3475.0,,,
9,Adelie Penguin (Pygoscelis adeliae),Torgersen,Yes,9/11/2007,42.0,20.2,190.0,4250.0,,9.13362,-25.09368
10,Adelie Penguin (Pygoscelis adeliae),Torgersen,Yes,9/11/2007,37.8,17.1,186.0,3300.0,,8.63243,-25.21315
11,Adelie Penguin (Pygoscelis adeliae),Torgersen,Yes,9/11/2007,37.8,17.3,180.0,3700.0,,,
12,Adelie Penguin (Pygoscelis adeliae),Torgersen,Yes,15/11/2007,41.1,17.6,182.0,3200.0,FEMALE,,
13,Adelie Penguin (Pygoscelis adeliae),Torgersen,Yes,15/11/2007,38.6,21.2,191.0,3800.0,MALE,,
14,Adelie Penguin (Pygoscelis adeliae),Torgersen,Yes,16/11/2007,34.6,21.1,198.0,4400.0,MALE,8.55583,-25.22588
15,Adelie Penguin (Pygoscelis adeliae),Torgersen,Yes,16/11/2007,36.6,17.8,185.0,3700.0,FEMALE,,
16,Adelie Penguin (Pygoscelis adeliae),Torgersen,Yes,12/11/2007,38.7,19.0,195.0,3450.0,FEMALE,9.18528,-25.06691
17,Adelie Penguin (Pygoscelis adeliae),Torgersen,Yes,12/11/2007,42.5,20.7,197.0,4500.0,MALE,8.67538,-25.13993
18,Adelie Penguin (Pygoscelis adeliae),Torgersen,Yes,16/11/2007,34.4,18.4,184.0,3325.0,FEMALE,8.47827,-25.23319
19,Adelie Penguin (Pygoscelis adeliae),Torgersen,Yes,16/11/2007,46.0,21.5,194.0,4200.0,MALE,9.11616,-24.77227
20,Adelie Penguin (Pygoscelis adeliae),Biscoe,Yes,12/11/2007,37.8,18.3,174.0,3400.0,FEMALE,8.73762,-25.09383
21,Adelie Penguin (Pygoscelis adeliae),Biscoe,Yes,12/11/2007,37.7,18.7,180.0,3600.0,MALE,8.66271,-25.0639
22,Adelie Penguin (Pygoscelis adeliae),Biscoe,Yes,12/11/2007,35.9,19.2,189.0,3800.0,FEMALE,9.22286,-25.03474
23,Adelie Penguin (Pygoscelis adeliae),Biscoe,Yes,12/11/2007,38.2,18.1,185.0,3950.0,MALE,8.43423,-25.22664
24,Adelie Penguin (Pygoscelis adeliae),Biscoe,Yes,10/11/2007,38.8,17.2,180.0,3800.0,MALE,9.63954,-25.29856
25,Adelie Penguin (Pygoscelis adeliae),Biscoe,Yes,10/11/2007,35.3,18.9,187.0,3800.0,FEMALE,9.21292,-24.3613
26,Adelie Penguin (Pygoscelis adeliae),Biscoe,Yes,12/11/2007,40.6,18.6,183.0,3550.0,MALE,8.93997,-25.36288
27,Adelie Penguin (Pygoscelis adeliae),Biscoe,Yes,12/11/2007,40.5,17.9,187.0,3200.0,FEMALE,8.08138,-25.49448
28,Adelie Penguin (Pygoscelis adeliae),Biscoe,No,10/11/2007,37.9,18.6,172.0,3150.0,FEMALE,8.38404,-25.19837
29,Adelie Penguin (Pygoscelis adeliae),Biscoe,No,10/11/2007,40.5,18.9,180.0,3950.0,MALE,8.90027,-25.11609
30,Adelie Penguin (Pygoscelis adeliae),Dream,Yes,9/11/2007,39.5,16.7,178.0,3250.0,FEMALE,9.69756,-25.11223
